l_orderkey,l_partkey,l_suppkey,l_linenumber,l_quantity,l_extendedprice,l_discount,l_tax,l_returnflag,l_linestatus,l_shipdate,l_commitdate,l_receiptdate,l_shipinstruct,l_shipmode,l_comment
1344,356,98,3,4.56,1160.07,0.01,0.02,N,F,1994-10-08,1994-11-09,1994-10-27,TAKE BACK RETURN,AIR,special furiously express slyly quickly
1345,450,12,1,49.48,3882.66,0.08,0.03,R,F,1995-10-05,1995-09-07,1995-10-07,TAKE BACK RETURN,FOB,quickly pending slyly quickly regular blithe
1345,270,62,2,48.93,3961.88,0.03,0.05,N,F,1995-09-21,1995-10-26,1995-10-17,DELIVER IN PERSON,RAIL,blithely slyly furiously special silent
1345,168,70,3,1.46,3346.14,0.1,0.07,A,F,1995-09-14,1995-10-30,1995-10-02,COLLECT COD,AIR,blithely quickly final quickly blithely sile
1346,74,1,1,27.75,348.51,0.06,0.06,A,F,1998-02-09,1998-03-27,1998-02-16,NONE,MAIL,special final quickly pending silent pending
1346,63,29,2,10.01,3504.35,0.0,0.06,N,F,1998-02-26,1998-03-01,1998-03-05,NONE,SHIP,slyly furiously silent slyly pending express
1346,429,30,3,41.94,2884.8,0.09,0.07,R,F,1998-02-17,1998-03-10,1998-03-09,NONE,FOB,pending furiously final quickly
1347,223,11,1,31.08,3010.66,0.05,0.04,A,F,1996-01-29,1996-03-26,1996-02-27,COLLECT COD,REG AIR,unusual carefully unusual unusual pending sp
1347,241,5,2,10.84,3485.28,0.03,0.02,N,F,1996-01-10,1996-02-20,1996-02-04,DELIVER IN PERSON,TRUCK,furiously carefully pending slyly slyly slyl
1347,463,57,3,3.38,4812.76,0.07,0.04,N,F,1996-01-24,1996-03-12,1996-02-23,DELIVER IN PERSON,REG AIR,pending blithely quickly slyly silent pendin
1348,245,42,1,35.55,2044.55,0.05,0.04,A,F,1998-08-20,1998-08-18,1998-09-05,TAKE BACK RETURN,RAIL,carefully final carefully furiously
1348,103,100,2,10.55,4032.8,0.03,0.02,N,F,1998-07-25,1998-08-03,1998-08-19,NONE,TRUCK,silent special blithely
1348,317,13,3,1.42,2829.55,0.03,0.06,N,F,1998-08-23,1998-09-03,1998-09-10,TAKE BACK RETURN,TRUCK,quickly final slyly express special
1349,457,76,1,44.14,2589.18,0.01,0.07,N,F,1998-11-29,1999-01-23,1998-12-29,NONE,FOB,final final pending express blithely slyly u
1349,279,61,2,19.99,502.25,0.05,0.04,N,F,1998-11-30,1999-01-06,1998-12-01,DELIVER IN PERSON,TRUCK,special express unusual express blithely reg
1349,79,15,3,25.66,2764.48,0.01,0.01,A,F,1998-12-25,1999-01-18,1999-01-07,COLLECT COD,TRUCK,special furiously furiously
1350,448,1,1,12.64,1910.19,0.09,0.02,N,F,1993-04-15,1993-05-28,1993-04-29,TAKE BACK RETURN,REG AIR,unusual regular quickly final regular slyly 
1350,146,19,2,35.45,789.99,0.09,0.0,N,F,1993-05-05,1993-05-05,1993-05-12,COLLECT COD,FOB,special slyly unusual pending slyly special 
1350,468,28,3,47.73,302.94,0.0,0.07,R,F,1993-05-19,1993-06-19,1993-06-01,DELIVER IN PERSON,AIR,furiously blithely slyly special silent slyl
1351,201,5,1,13.58,4271.05,0.06,0.05,R,F,1996-11-07,1996-12-09,1996-11-27,TAKE BACK RETURN,AIR,silent silent pending furiously final blithe
1351,208,99,2,17.95,175.4,0.03,0.05,R,F,1996-11-18,1997-01-12,1996-12-06,COLLECT COD,SHIP,express silent final pending furiously unusu
1351,124,26,3,48.52,3274.77,0.01,0.05,A,F,1996-11-29,1996-12-10,1996-12-13,TAKE BACK RETURN,TRUCK,pending quickly final final regular final
1352,67,36,1,3.26,4196.48,0.01,0.06,N,F,1998-08-25,1998-09-26,1998-09-24,COLLECT COD,MAIL,regular pending regular final carefully quic
1352,188,63,2,9.3,1767.45,0.09,0.05,N,F,1998-10-12,1998-11-14,1998-10-16,COLLECT COD,RAIL,carefully furiously pending express silent
1352,456,39,3,11.04,3948.81,0.03,0.08,N,F,1998-09-26,1998-11-01,1998-10-05,DELIVER IN PERSON,TRUCK,slyly slyly slyly carefully final final
1353,259,68,1,32.12,1542.03,0.09,0.06,A,F,1993-11-08,1993-11-28,1993-12-06,NONE,FOB,silent special final pending regular pending
1353,465,7,2,32.77,1590.77,0.07,0.06,A,F,1993-09-20,1993-10-17,1993-10-01,DELIVER IN PERSON,REG AIR,slyly pending quickly
1353,190,35,3,15.24,561.38,0.02,0.06,R,F,1993-10-06,1993-10-18,1993-10-21,NONE,TRUCK,regular special unusual slyly regular silent
1354,29,29,1,8.92,1455.47,0.07,0.04,R,F,1993-09-27,1993-10-31,1993-10-19,COLLECT COD,TRUCK,quickly silent carefully carefully slyly exp
1354,1,23,2,2.07,4466.77,0.08,0.03,A,F,1993-09-13,1993-09-29,1993-10-06,COLLECT COD,SHIP,quickly slyly express unusual unusual carefu
1354,15,59,3,22.59,1905.71,0.08,0.03,A,F,1993-08-23,1993-10-30,1993-08-25,DELIVER IN PERSON,REG AIR,express pending slyly pending
1355,243,39,1,31.05,2822.71,0.04,0.06,N,F,1997-03-16,1997-04-06,1997-03-23,DELIVER IN PERSON,MAIL,slyly special final special
1355,88,41,2,14.55,4918.18,0.05,0.02,R,F,1997-04-16,1997-04-10,1997-04-19,DELIVER IN PERSON,FOB,furiously quickly blithely special final reg
1355,330,24,3,22.7,966.61,0.03,0.03,A,F,1997-03-26,1997-04-14,1997-04-03,DELIVER IN PERSON,MAIL,silent furiously carefully blithely final re
1356,82,36,1,24.46,3239.47,0.04,0.07,R,F,1995-12-19,1996-01-12,1995-12-28,COLLECT COD,MAIL,special silent regular blithely express
1356,130,55,2,41.78,3379.25,0.05,0.04,N,F,1996-01-07,1995-12-29,1996-01-27,NONE,REG AIR,pending furiously silent regular regular
1356,479,80,3,21.68,1874.93,0.02,0.04,R,F,1995-11-30,1996-02-04,1995-12-04,TAKE BACK RETURN,REG AIR,blithely silent carefully carefully blithely
1357,31,94,1,13.32,2921.04,0.06,0.06,A,F,1996-10-02,1996-10-21,1996-10-08,NONE,FOB,quickly blithely special carefully
1357,410,67,2,16.32,1710.97,0.08,0.03,N,F,1996-09-02,1996-09-12,1996-09-07,NONE,AIR,pending blithely final
1357,471,73,3,26.54,3230.89,0.06,0.02,R,F,1996-08-19,1996-10-05,1996-08-21,NONE,REG AIR,special unusual quickly
1358,256,23,1,49.58,2446.41,0.1,0.02,N,F,1996-01-31,1996-02-11,1996-02-15,DELIVER IN PERSON,SHIP,special carefully slyly special silent slyly
1358,324,67,2,40.7,355.58,0.04,0.08,R,F,1996-01-28,1996-02-24,1996-02-04,DELIVER IN PERSON,FOB,quickly carefully pending
1358,326,100,3,35.34,4612.6,0.02,0.01,A,F,1995-12-18,1996-03-10,1996-01-04,TAKE BACK RETURN,RAIL,slyly special blithely blithely regular care
1359,266,100,1,1.34,3873.53,0.03,0.08,A,F,1996-11-10,1996-11-26,1996-12-07,COLLECT COD,RAIL,special unusual furiously special unusual sl
1359,3,4,2,33.37,3775.5,0.05,0.05,R,F,1996-11-06,1996-11-16,1996-11-30,TAKE BACK RETURN,FOB,regular slyly final silent
1359,443,37,3,45.07,2769.39,0.0,0.04,R,F,1996-10-31,1996-11-06,1996-11-28,TAKE BACK RETURN,RAIL,regular express slyly
1360,17,84,1,41.49,3491.93,0.05,0.04,R,F,1998-12-11,1998-12-27,1999-01-09,DELIVER IN PERSON,TRUCK,special slyly unusual
1360,134,64,2,2.7,1640.41,0.01,0.05,N,F,1998-12-30,1999-01-15,1999-01-20,TAKE BACK RETURN,RAIL,final unusual final
1360,129,51,3,42.11,4581.04,0.09,0.08,A,F,1998-12-27,1999-02-02,1999-01-21,TAKE BACK RETURN,TRUCK,express blithely unusual quickly final pendi
1361,35,84,1,9.74,1296.64,0.07,0.02,R,F,1995-11-02,1995-10-16,1995-11-11,DELIVER IN PERSON,TRUCK,carefully regular pending silent express car
1361,431,98,2,41.74,3137.96,0.05,0.03,N,F,1995-09-26,1995-12-03,1995-09-28,NONE,SHIP,regular pending final special
1361,98,76,3,32.25,3537.61,0.07,0.01,R,F,1995-10-07,1995-11-14,1995-10-12,TAKE BACK RETURN,AIR,quickly carefully express
1362,352,84,1,48.51,2970.22,0.06,0.07,R,F,1993-06-11,1993-07-16,1993-07-02,NONE,FOB,blithely slyly slyly furiously quickly caref
1362,362,61,2,4.21,2526.35,0.08,0.05,N,F,1993-06-10,1993-07-26,1993-06-23,DELIVER IN PERSON,TRUCK,carefully blithely quickly carefully
1362,208,44,3,30.87,1464.81,0.05,0.01,N,F,1993-07-19,1993-08-13,1993-07-21,NONE,MAIL,regular pending special
1363,166,62,1,42.85,3510.33,0.08,0.08,N,F,1996-03-22,1996-06-03,1996-03-27,COLLECT COD,AIR,regular special regular pending silent slyly
1363,99,67,2,49.15,4169.22,0.01,0.02,R,F,1996-05-05,1996-05-02,1996-05-20,DELIVER IN PERSON,SHIP,final pending pending quickly pending specia
1363,476,96,3,5.3,4222.84,0.03,0.02,R,F,1996-05-13,1996-05-27,1996-06-09,DELIVER IN PERSON,RAIL,furiously express unusual regular pending sp
1364,434,32,1,12.32,2523.3,0.05,0.02,A,F,1997-05-07,1997-06-09,1997-05-31,TAKE BACK RETURN,SHIP,final carefully furiously quickly blithely f
1364,57,33,2,47.92,4908.56,0.04,0.03,R,F,1997-06-18,1997-07-11,1997-07-09,NONE,MAIL,carefully unusual special unusual
1364,3,3,3,30.32,4869.9,0.08,0.04,R,F,1997-05-16,1997-07-08,1997-05-29,NONE,RAIL,express carefully pending silent quickly
1365,449,63,1,7.17,3333.15,0.05,0.06,N,F,1994-04-07,1994-05-27,1994-04-17,TAKE BACK RETURN,SHIP,blithely quickly unusual regular slyly unusu
1365,170,30,2,31.13,4437.8,0.03,0.05,N,F,1994-04-20,1994-05-01,1994-04-26,TAKE BACK RETURN,SHIP,slyly express furiously final regular specia
1365,275,67,3,5.16,472.44,0.08,0.08,R,F,1994-05-08,1994-06-03,1994-05-17,NONE,AIR,silent unusual pending carefully
1366,109,80,1,14.4,1517.61,0.02,0.06,R,F,1993-12-03,1994-01-29,1993-12-06,NONE,AIR,silent final slyly unusual
1366,428,53,2,25.45,1244.41,0.06,0.08,A,F,1993-11-22,1993-12-22,1993-12-08,COLLECT COD,FOB,carefully quickly slyly quickly blithely unu
1366,109,98,3,45.1,3381.35,0.05,0.05,R,F,1993-11-28,1993-12-02,1993-12-03,NONE,TRUCK,final silent slyly pending blithely
1367,42,1,1,35.59,4929.66,0.0,0.03,N,F,1995-08-29,1995-09-07,1995-09-03,NONE,TRUCK,furiously express blithely special
1367,92,82,2,48.42,432.95,0.09,0.08,N,F,1995-08-22,1995-08-03,1995-08-24,DELIVER IN PERSON,SHIP,unusual pending furiously
1367,38,14,3,8.31,2983.18,0.0,0.02,A,F,1995-08-29,1995-09-14,1995-09-04,DELIVER IN PERSON,TRUCK,carefully furiously pending slyly
1368,263,42,1,18.86,3765.76,0.08,0.01,A,F,1997-07-30,1997-08-24,1997-08-23,DELIVER IN PERSON,AIR,pending special regular
1368,343,33,2,3.02,2197.33,0.08,0.06,N,F,1997-09-05,1997-08-13,1997-09-15,NONE,TRUCK,furiously quickly regular blithely
1368,246,72,3,35.68,1589.22,0.07,0.02,R,F,1997-08-27,1997-09-03,1997-09-24,DELIVER IN PERSON,SHIP,final silent express pending
1369,250,93,1,30.06,3101.95,0.01,0.01,A,F,1994-02-17,1994-03-26,1994-02-26,DELIVER IN PERSON,RAIL,regular special special blithely final quick
1369,329,14,2,27.33,1417.06,0.02,0.06,N,F,1994-02-17,1994-03-28,1994-02-23,TAKE BACK RETURN,REG AIR,regular silent express
1369,58,62,3,19.05,1200.67,0.0,0.06,A,F,1994-02-13,1994-04-02,1994-02-18,DELIVER IN PERSON,MAIL,silent blithely final unusual final
1370,226,43,1,13.21,4395.35,0.06,0.07,R,F,1994-02-23,1994-03-09,1994-03-14,NONE,MAIL,final special unusual regular
1370,456,53,2,14.49,2748.83,0.09,0.03,N,F,1994-02-15,1994-03-20,1994-02-16,COLLECT COD,RAIL,regular quickly slyly
1370,335,50,3,27.04,498.25,0.08,0.0,N,F,1994-03-28,1994-04-05,1994-04-03,COLLECT COD,AIR,silent silent special quickly
1371,172,16,1,7.06,2133.02,0.05,0.02,A,F,1995-03-11,1995-02-23,1995-04-08,NONE,MAIL,pending special quickly
1371,292,77,2,43.12,441.67,0.0,0.03,N,F,1995-03-08,1995-04-03,1995-03-24,NONE,AIR,special slyly regular quickly pending regula
1371,90,58,3,12.11,1776.09,0.03,0.02,R,F,1995-01-27,1995-03-29,1995-02-06,TAKE BACK RETURN,TRUCK,pending silent carefully blithely final regu
1372,388,99,1,27.52,3918.72,0.1,0.06,A,F,1994-10-13,1994-10-23,1994-10-31,DELIVER IN PERSON,TRUCK,slyly silent silent blithely regular pending
1372,400,58,2,16.18,1844.96,0.01,0.03,N,F,1994-09-03,1994-10-18,1994-09-09,TAKE BACK RETURN,MAIL,quickly silent final pending silent
1372,492,87,3,26.65,3888.23,0.01,0.08,N,F,1994-08-30,1994-10-23,1994-09-26,NONE,SHIP,special carefully pending final special expr
1373,194,36,1,38.71,4116.48,0.01,0.02,R,F,1997-04-15,1997-05-21,1997-04-28,COLLECT COD,AIR,silent final furiously carefully furiously s
1373,83,74,2,15.03,464.09,0.07,0.06,A,F,1997-04-10,1997-05-16,1997-04-24,DELIVER IN PERSON,SHIP,quickly quickly slyly carefully regular
1373,375,7,3,41.01,1565.79,0.03,0.08,R,F,1997-04-23,1997-04-23,1997-05-16,TAKE BACK RETURN,RAIL,silent furiously unusual quickly
1374,293,37,1,34.95,621.55,0.03,0.06,R,F,1994-06-05,1994-08-17,1994-06-12,NONE,SHIP,unusual regular carefully slyly silent
1374,141,91,2,16.35,1445.84,0.05,0.02,R,F,1994-06-19,1994-06-22,1994-07-11,NONE,RAIL,carefully silent pending carefully regular e
1374,174,31,3,38.65,2601.23,0.01,0.06,A,F,1994-07-09,1994-08-01,1994-08-05,DELIVER IN PERSON,TRUCK,silent pending quickly slyly blithely unusua
1375,251,98,1,48.05,4721.02,0.06,0.04,N,F,1996-10-14,1996-11-25,1996-10-17,COLLECT COD,TRUCK,unusual express unusual
1375,83,19,2,49.15,2901.79,0.01,0.03,R,F,1996-10-21,1996-11-14,1996-11-04,NONE,REG AIR,unusual express furiously regular silent unu
1375,486,55,3,23.87,936.06,0.07,0.0,R,F,1996-10-20,1996-10-28,1996-10-29,COLLECT COD,MAIL,regular carefully carefully
1376,150,57,1,15.61,1321.85,0.03,0.08,N,F,1994-09-26,1994-09-26,1994-10-22,TAKE BACK RETURN,MAIL,pending slyly final unusual silent silent sp
1376,202,83,2,33.52,1675.33,0.01,0.07,A,F,1994-08-15,1994-09-11,1994-08-30,NONE,SHIP,blithely special quickly furiously unusual f
1376,47,96,3,25.53,297.48,0.09,0.05,R,F,1994-09-11,1994-09-03,1994-10-02,NONE,REG AIR,quickly regular furiously slyly
1377,380,92,1,28.38,4798.0,0.0,0.07,R,F,1994-12-10,1995-01-05,1995-01-02,DELIVER IN PERSON,TRUCK,express silent furiously blithely silent
1377,419,90,2,34.18,3828.68,0.06,0.02,R,F,1994-11-16,1994-12-30,1994-11-19,COLLECT COD,MAIL,regular silent silent
1377,491,87,3,28.56,1961.22,0.01,0.02,A,F,1994-11-06,1994-12-04,1994-11-12,DELIVER IN PERSON,REG AIR,express slyly quickly pending
1378,206,67,1,1.89,1315.16,0.0,0.08,N,F,1993-02-21,1993-04-10,1993-03-06,NONE,TRUCK,quickly regular carefully
1378,106,89,2,28.74,1927.09,0.05,0.06,R,F,1993-02-27,1993-02-22,1993-03-23,NONE,REG AIR,special unusual carefully pending
1378,448,69,3,49.32,640.99,0.06,0.06,A,F,1993-02-10,1993-04-07,1993-02-15,COLLECT COD,RAIL,express blithely silent unusual
1379,2,99,1,36.64,1237.78,0.04,0.06,A,F,1994-06-19,1994-06-10,1994-06-22,COLLECT COD,AIR,silent unusual silent
1379,435,46,2,7.53,4299.31,0.04,0.01,N,F,1994-05-08,1994-07-13,1994-05-15,TAKE BACK RETURN,FOB,carefully regular slyly regular furiously sp
1379,165,52,3,8.61,1395.14,0.08,0.06,N,F,1994-06-22,1994-07-04,1994-06-25,COLLECT COD,AIR,quickly slyly final unusual slyly special
1380,373,26,1,33.02,2195.28,0.08,0.06,A,F,1995-03-22,1995-04-10,1995-04-16,TAKE BACK RETURN,RAIL,unusual blithely pending unusual unusual fin
1380,337,99,2,8.34,3024.12,0.04,0.0,A,F,1995-02-23,1995-04-05,1995-03-19,COLLECT COD,MAIL,carefully quickly regular silent express
1380,421,58,3,29.92,3515.53,0.08,0.03,N,F,1995-03-27,1995-05-01,1995-04-22,NONE,FOB,special final blithely carefully special
1381,141,18,1,28.42,1697.93,0.03,0.04,N,F,1994-05-25,1994-06-18,1994-06-01,COLLECT COD,REG AIR,carefully final slyly
1381,92,28,2,2.44,2722.41,0.07,0.07,A,F,1994-06-15,1994-06-02,1994-06-27,TAKE BACK RETURN,TRUCK,slyly unusual blithely unusual slyly
1381,434,97,3,21.89,1995.31,0.04,0.02,A,F,1994-05-13,1994-06-23,1994-06-02,NONE,MAIL,silent carefully carefully furiously
1382,398,11,1,43.22,1595.63,0.02,0.02,R,F,1997-01-07,1997-02-24,1997-01-15,NONE,RAIL,carefully slyly slyly pending slyly unusual
1382,437,46,2,38.33,935.74,0.08,0.04,R,F,1997-01-21,1997-03-09,1997-02-03,NONE,RAIL,special pending silent regular slyly slyly s
1382,466,76,3,25.61,2605.3,0.02,0.01,R,F,1997-01-23,1997-02-08,1997-02-19,TAKE BACK RETURN,FOB,express express pending special final silent
1383,496,60,1,33.82,3993.02,0.03,0.08,N,F,1993-10-16,1993-11-20,1993-10-25,NONE,FOB,slyly blithely express blithely blithely
1383,489,92,2,46.49,4167.54,0.01,0.0,R,F,1993-08-29,1993-10-14,1993-09-20,NONE,MAIL,furiously final quickly carefully
1383,283,94,3,36.62,4044.79,0.01,0.07,N,F,1993-10-06,1993-10-20,1993-11-03,DELIVER IN PERSON,TRUCK,furiously slyly silent pending pending silen
1384,187,29,1,45.3,1791.18,0.1,0.02,A,F,1993-02-15,1993-02-13,1993-03-04,COLLECT COD,AIR,carefully furiously final pending special si
1384,266,73,2,8.88,330.39,0.01,0.02,A,F,1993-02-22,1993-04-02,1993-03-21,TAKE BACK RETURN,AIR,quickly quickly final regular
1384,197,48,3,29.49,497.24,0.06,0.06,A,F,1993-02-13,1993-02-16,1993-02-28,NONE,FOB,carefully special unusual quickly carefully 
1385,211,27,1,21.77,4602.83,0.05,0.04,A,F,1995-05-01,1995-07-16,1995-05-28,TAKE BACK RETURN,RAIL,unusual special carefully
1385,62,15,2,5.11,3365.2,0.05,0.04,N,F,1995-06-17,1995-06-03,1995-06-24,TAKE BACK RETURN,REG AIR,pending furiously blithely blithely furiousl
1385,349,86,3,18.54,4492.73,0.03,0.04,R,F,1995-05-03,1995-07-17,1995-05-30,NONE,SHIP,express final quickly regular final quickly 
1386,157,19,1,30.05,3932.68,0.04,0.02,A,F,1995-04-06,1995-06-17,1995-04-09,DELIVER IN PERSON,REG AIR,silent silent unusual special
1386,396,65,2,47.59,1870.88,0.01,0.06,N,F,1995-05-08,1995-05-10,1995-05-28,COLLECT COD,REG AIR,pending pending special carefully carefully 
1386,106,100,3,9.09,1362.89,0.01,0.07,N,F,1995-04-26,1995-06-23,1995-04-27,DELIVER IN PERSON,REG AIR,silent express silent slyly pending carefull
1387,309,22,1,7.7,1070.51,0.09,0.03,N,F,1995-01-04,1995-02-14,1995-01-09,COLLECT COD,RAIL,slyly carefully quickly silent
1387,483,70,2,3.79,3317.4,0.1,0.04,R,F,1995-01-09,1995-01-11,1995-01-30,DELIVER IN PERSON,FOB,furiously pending unusual
1387,294,21,3,45.14,457.28,0.1,0.01,A,F,1994-12-28,1995-02-23,1995-01-22,COLLECT COD,RAIL,regular final pending regular silent
1388,187,89,1,32.75,2293.99,0.08,0.08,N,F,1994-06-28,1994-07-20,1994-07-14,DELIVER IN PERSON,REG AIR,unusual special furiously quickly
1388,248,14,2,21.53,2696.46,0.03,0.08,N,F,1994-06-04,1994-06-23,1994-06-14,DELIVER IN PERSON,TRUCK,blithely express regular regular
1388,209,2,3,27.42,2163.5,0.01,0.03,R,F,1994-06-03,1994-08-01,1994-06-08,COLLECT COD,SHIP,regular silent slyly carefully final careful
1389,31,78,1,6.62,3201.13,0.07,0.04,N,F,1998-01-19,1998-04-10,1998-02-17,DELIVER IN PERSON,SHIP,silent carefully blithely special
1389,106,13,2,29.09,3024.95,0.06,0.05,R,F,1998-01-15,1998-04-08,1998-02-06,NONE,RAIL,pending unusual express quickly blithely
1389,229,1,3,24.87,1247.88,0.0,0.07,N,F,1998-02-24,1998-03-24,1998-03-02,TAKE BACK RETURN,FOB,pending special furiously carefully unusual 
1390,412,97,1,28.05,2198.51,0.02,0.02,N,F,1996-07-18,1996-09-11,1996-08-04,NONE,SHIP,carefully carefully silent unusual pending s
1390,300,26,2,4.84,4289.58,0.05,0.03,A,F,1996-07-29,1996-08-16,1996-08-05,NONE,FOB,furiously carefully pending
1390,223,13,3,40.61,2031.31,0.02,0.02,N,F,1996-08-21,1996-09-11,1996-09-12,DELIVER IN PERSON,REG AIR,furiously carefully silent pending furiously
1391,348,89,1,41.66,3526.6,0.01,0.03,R,F,1994-05-30,1994-06-18,1994-06-18,DELIVER IN PERSON,REG AIR,slyly carefully pending unusual unusual fina
1391,425,5,2,43.27,3818.99,0.08,0.01,A,F,1994-05-28,1994-05-22,1994-06-24,TAKE BACK RETURN,FOB,quickly unusual furiously unusual pending re
1391,427,42,3,18.8,276.32,0.01,0.03,N,F,1994-05-24,1994-06-05,1994-06-07,DELIVER IN PERSON,MAIL,carefully silent quickly
1392,79,91,1,30.69,2913.78,0.02,0.03,R,F,1997-05-16,1997-05-29,1997-06-06,COLLECT COD,AIR,unusual special final blithely final regular
1392,200,62,2,43.37,3228.81,0.1,0.04,A,F,1997-06-07,1997-06-12,1997-07-06,TAKE BACK RETURN,RAIL,slyly unusual carefully
1392,70,54,3,8.32,3029.21,0.07,0.04,N,F,1997-05-26,1997-06-08,1997-06-23,NONE,MAIL,express pending blithely quickly slyly caref
1393,258,63,1,10.01,1251.72,0.04,0.01,N,F,1997-06-18,1997-06-20,1997-06-29,DELIVER IN PERSON,REG AIR,express quickly unusual carefully furiously 
1393,108,33,2,15.05,711.74,0.05,0.04,N,F,1997-06-27,1997-07-27,1997-07-18,COLLECT COD,RAIL,express blithely furiously pending slyly
1393,249,15,3,34.46,3684.21,0.02,0.0,R,F,1997-05-17,1997-06-07,1997-05-25,DELIVER IN PERSON,TRUCK,unusual unusual carefully slyly
1394,98,75,1,44.3,2711.05,0.02,0.03,N,F,1998-05-26,1998-06-22,1998-06-13,NONE,MAIL,regular regular final unusual pending unusua
1394,18,61,2,38.93,3440.55,0.07,0.0,A,F,1998-06-03,1998-06-28,1998-07-02,NONE,MAIL,special blithely blithely
1394,495,2,3,40.31,3954.83,0.03,0.04,R,F,1998-07-09,1998-07-27,1998-07-17,COLLECT COD,RAIL,special furiously furiously carefully pendin
1395,368,19,1,26.98,931.32,0.03,0.01,R,F,1993-10-06,1993-11-20,1993-10-25,TAKE BACK RETURN,TRUCK,carefully furiously unusual unusual blithely
1395,317,51,2,45.06,1043.9,0.01,0.08,N,F,1993-10-03,1993-10-23,1993-10-10,TAKE BACK RETURN,FOB,silent slyly special
1395,474,90,3,45.09,4008.18,0.02,0.02,A,F,1993-11-02,1993-10-28,1993-11-20,TAKE BACK RETURN,TRUCK,furiously special unusual
1396,316,19,1,13.93,3261.25,0.07,0.06,A,F,1994-12-31,1994-12-31,1995-01-17,TAKE BACK RETURN,REG AIR,blithely furiously quickly
1396,279,78,2,14.12,980.37,0.04,0.01,A,F,1995-01-11,1995-01-17,1995-01-24,COLLECT COD,SHIP,silent special carefully
1396,248,88,3,17.28,1365.07,0.09,0.04,A,F,1995-01-13,1995-01-21,1995-02-04,DELIVER IN PERSON,AIR,unusual furiously blithely slyly silent
1397,186,96,1,49.21,4704.15,0.01,0.03,A,F,1995-04-20,1995-05-15,1995-05-02,TAKE BACK RETURN,REG AIR,furiously unusual blithely blithely blithely
1397,438,51,2,2.34,4232.04,0.06,0.02,R,F,1995-04-07,1995-03-29,1995-04-08,NONE,FOB,pending regular unusual
1397,163,26,3,24.07,4584.55,0.08,0.06,N,F,1995-03-05,1995-04-11,1995-03-30,COLLECT COD,TRUCK,quickly express furiously express blithely s
1398,101,64,1,27.85,861.63,0.06,0.04,R,F,1998-09-02,1998-10-01,1998-09-22,TAKE BACK RETURN,MAIL,blithely quickly slyly unusual slyly blithel
1398,448,26,2,9.96,2875.33,0.09,0.06,A,F,1998-09-15,1998-10-10,1998-09-21,COLLECT COD,FOB,express furiously special
1398,12,69,3,45.02,4129.29,0.03,0.07,N,F,1998-09-24,1998-11-01,1998-10-24,COLLECT COD,MAIL,carefully silent quickly
1399,452,22,1,40.74,3165.41,0.06,0.03,N,F,1998-08-21,1998-09-27,1998-09-05,COLLECT COD,SHIP,express blithely unusual regular slyly slyly
1399,432,15,2,44.64,3734.61,0.08,0.04,A,F,1998-08-12,1998-08-11,1998-08-30,DELIVER IN PERSON,RAIL,quickly final express quickly
1399,178,11,3,25.9,4686.07,0.03,0.02,R,F,1998-07-14,1998-08-20,1998-07-22,COLLECT COD,SHIP,carefully furiously special
1400,449,32,1,29.52,520.87,0.01,0.06,N,F,1994-04-06,1994-04-28,1994-04-09,COLLECT COD,SHIP,slyly pending express silent silent silent
1400,66,57,2,49.98,3426.03,0.07,0.04,R,F,1994-04-05,1994-04-30,1994-05-02,COLLECT COD,RAIL,quickly furiously pending pending slyly blit
1400,237,49,3,33.16,2295.82,0.1,0.02,N,F,1994-05-02,1994-06-04,1994-05-12,DELIVER IN PERSON,REG AIR,slyly pending silent unusual carefully furio
1401,257,49,1,10.14,2244.35,0.05,0.05,A,F,1994-04-25,1994-07-03,1994-05-03,TAKE BACK RETURN,SHIP,special carefully final special
1401,109,33,2,39.42,3251.99,0.05,0.03,N,F,1994-05-27,1994-06-28,1994-06-21,TAKE BACK RETURN,TRUCK,carefully slyly pending express silent final
1401,237,4,3,26.22,3478.7,0.0,0.06,A,F,1994-06-01,1994-05-08,1994-06-10,DELIVER IN PERSON,RAIL,regular furiously unusual quickly carefully 
1402,217,23,1,40.09,3528.95,0.09,0.04,R,F,1996-10-14,1996-11-09,1996-11-06,DELIVER IN PERSON,FOB,slyly pending express regular
1402,210,99,2,18.09,3265.2,0.08,0.05,N,F,1996-10-23,1996-10-22,1996-11-18,NONE,AIR,silent regular final quickly
1402,313,49,3,26.24,449.05,0.05,0.04,N,F,1996-10-14,1996-11-05,1996-11-06,DELIVER IN PERSON,REG AIR,special blithely slyly
1403,407,69,1,40.48,4924.21,0.01,0.03,A,F,1997-02-14,1997-02-12,1997-03-12,COLLECT COD,AIR,express silent quickly special slyly
1403,452,44,2,9.85,2690.22,0.02,0.0,N,F,1997-03-02,1997-03-23,1997-03-11,TAKE BACK RETURN,SHIP,special express blithely unusual
1403,382,20,3,1.9,4710.23,0.01,0.08,N,F,1997-01-31,1997-02-13,1997-02-18,DELIVER IN PERSON,MAIL,pending pending regular final pending blithe
1404,426,99,1,21.99,1976.03,0.07,0.04,R,F,1997-05-31,1997-06-18,1997-06-11,COLLECT COD,SHIP,slyly express final quickly express special 
1404,427,79,2,5.0,1572.22,0.09,0.04,A,F,1997-04-22,1997-07-01,1997-05-03,COLLECT COD,RAIL,carefully carefully furiously unusual
